date,MktRF,SMB,HML,RF,RMW,CMA,MOM,IA,ROE,EG
1926-07-01,0.0009,-0.0023,-0.0028000000000000004,0.0001,,,,,,
1926-07-02,0.0045000000000000005,-0.0034000000000000002,-0.0003,0.0001,,,,,,
1926-07-06,0.0017000000000000001,0.0029,-0.0038,0.0001,,,,,,
1926-07-07,0.0009,-0.0062,0.0003,0.0001,,,,,,
1926-07-08,0.0022,-0.0038,0.0018,0.0001,,,,,,
1926-07-09,-0.0070999999999999995,0.0044,0.0058,0.0001,,,,,,
1926-07-10,0.0060999999999999995,-0.0052,-0.0013,0.0001,,,,,,
1926-07-12,0.0004,0.0003,0.005699999999999999,0.0001,,,,,,
1926-07-13,0.0048,-0.0025,-0.0025,0.0001,,,,,,
1926-07-14,0.0004,0.0012,-0.0051,0.0001,,,,,,
1926-07-15,-0.0043,0.0049,-0.0024,0.0001,,,,,,
1926-07-16,0.0052,0.0,-0.005600000000000001,0.0001,,,,,,
1926-07-17,0.0034000000000000002,0.0046,-0.006500000000000001,0.0001,,,,,,
1926-07-19,0.0,-0.0003,-0.0043,0.0001,,,,,,
1926-07-20,-0.005600000000000001,-0.0025,0.0019,0.0001,,,,,,
1926-07-21,-0.0059,0.0021,0.0028000000000000004,0.0001,,,,,,
1926-07-22,-0.0073,-0.0032,-0.0013,0.0001,,,,,,
1926-07-23,-0.0002,0.0009,0.0004,0.0001,,,,,,
1926-07-24,-0.0015,0.0044,-0.0006,0.0001,,,,,,
1926-07-26,0.0051,-0.0034000000000000002,-0.0028000000000000004,0.0001,,,,,,
1926-07-27,0.0044,-0.0045000000000000005,0.0026,0.0001,,,,,,
1926-07-28,0.0109,0.0005,-0.0029,0.0001,,,,,,
1926-07-29,0.0036,-0.0064,-0.0098,0.0001,,,,,,
1926-07-30,0.0017000000000000001,-0.0046,0.0054,0.0001,,,,,,
1926-07-31,0.0046,-0.0014000000000000002,-0.0014000000000000002,0.0001,,,,,,
1926-08-02,0.0084,-0.0024,0.0,0.0001,,,,,,
1926-08-03,0.0049,-0.0025,-0.0064,0.0001,,,,,,
1926-08-04,-0.0036,0.0013,0.003,0.0001,,,,,,
1926-08-05,-0.0009,0.0002,0.0073,0.0001,,,,,,
1926-08-06,0.0068000000000000005,0.0007000000000000001,0.0017000000000000001,0.0001,,,,,,
1926-08-07,0.004699999999999999,0.0009,-0.0026,0.0001,,,,,,
1926-08-09,0.002,-0.0008,-0.0023,0.0001,,,,,,
1926-08-10,-0.013999999999999999,0.0036,0.002,0.0001,,,,,,
1926-08-11,-0.005699999999999999,0.0018,0.0034999999999999996,0.0001,,,,,,
1926-08-12,0.0084,-0.0078000000000000005,0.0042,0.0001,,,,,,
1926-08-13,0.0058,-0.0088,0.0024,0.0001,,,,,,
1926-08-14,0.0068000000000000005,0.0011,-0.0042,0.0001,,,,,,
1926-08-16,0.0007000000000000001,0.002,0.0070999999999999995,0.0001,,,,,,
1926-08-17,-0.0095,0.0034000000000000002,0.0019,0.0001,,,,,,
1926-08-18,0.0026,0.001,0.0004,0.0001,,,,,,
1926-08-19,-0.006,0.0011,0.001,0.0001,,,,,,
1926-08-20,-0.002,-0.0034999999999999996,0.0042,0.0001,,,,,,
1926-08-21,0.0031,-0.0007000000000000001,0.0051,0.0001,,,,,,
1926-08-23,0.004699999999999999,-0.0043,0.0053,0.0001,,,,,,
1926-08-24,-0.0084,0.0049,-0.0008,0.0001,,,,,,
1926-08-25,-0.0031,-0.004,0.0027,0.0001,,,,,,
1926-08-26,0.0051,0.0007000000000000001,0.0052,0.0001,,,,,,
1926-08-27,0.0034000000000000002,0.0014000000000000002,-0.004,0.0001,,,,,,
1926-08-28,0.0032,0.0016,-0.0006,0.0001,,,,,,
1926-08-30,0.0031,0.0001,0.004,0.0001,,,,,,
1926-08-31,0.0058,-0.0052,-0.0003,0.0001,,,,,,
1926-09-01,0.0055000000000000005,0.0051,-0.0006,0.0001,,,,,,
1926-09-02,-0.0005,-0.0006,0.0022,0.0001,,,,,,
1926-09-03,0.0049,-0.0032,0.0004,0.0001,,,,,,
1926-09-07,0.0059,-0.0027,-0.0022,0.0001,,,,,,
1926-09-08,-0.0051,-0.0007000000000000001,0.0006,0.0001,,,,,,
1926-09-09,-0.0007000000000000001,0.0015,0.0026,0.0001,,,,,,
1926-09-10,-0.0083,0.0007000000000000001,-0.0011,0.0001,,,,,,
1926-09-11,-0.0044,0.0032,0.0013,0.0001,,,,,,
1926-09-13,-0.0003,-0.0008,0.0049,0.0001,,,,,,
1926-09-14,0.009000000000000001,-0.006,0.001,0.0001,,,,,,
1926-09-15,-0.0021,0.0038,-0.0017000000000000001,0.0001,,,,,,
1926-09-16,-0.0018,-0.0031,0.0008,0.0001,,,,,,
1926-09-17,-0.009899999999999999,-0.0019,-0.0026,0.0001,,,,,,
1926-09-18,0.0069,-0.0029,-0.0014000000000000002,0.0001,,,,,,
1926-09-20,-0.0064,0.0005,0.0001,0.0001,,,,,,
1926-09-21,0.0029,-0.0039000000000000003,0.0014000000000000002,0.0001,,,,,,
1926-09-22,-0.0012,0.0,0.0001,0.0001,,,,,,
1926-09-23,0.0026,-0.0014000000000000002,0.0006,0.0001,,,,,,
1926-09-24,0.0062,-0.0021,-0.0002,0.0001,,,,,,
1926-09-25,0.0021,0.0002,-0.005600000000000001,0.0001,,,,,,
1926-09-27,-0.0012,0.0012,0.0040999999999999995,0.0001,,,,,,
1926-09-28,-0.0001,-0.0001,-0.0034000000000000002,0.0001,,,,,,
1926-09-29,-0.0031,0.0017000000000000001,-0.0013,0.0001,,,,,,
1926-09-30,0.0029,-0.002,0.0004,0.0001,,,,,,
1926-10-01,0.0073,-0.0025,-0.0021,0.0001,,,,,,
1926-10-02,-0.001,-0.0005,-0.0004,0.0001,,,,,,
1926-10-04,-0.013999999999999999,-0.0015,-0.0004,0.0001,,,,,,
1926-10-05,-0.011000000000000001,0.0042,-0.0070999999999999995,0.0001,,,,,,
1926-10-06,-0.0055000000000000005,-0.0074,-0.0023,0.0001,,,,,,
1926-10-07,-0.0078000000000000005,0.004,0.0024,0.0001,,,,,,
1926-10-08,0.0059,-0.0039000000000000003,0.0063,0.0001,,,,,,
1926-10-09,-0.0095,0.0045000000000000005,-0.001,0.0001,,,,,,
1926-10-11,-0.0069,-0.001,-0.0014000000000000002,0.0001,,,,,,
1926-10-13,0.0069,-0.0031,-0.0005,0.0001,,,,,,
1926-10-14,0.0096,-0.004699999999999999,0.0109,0.0001,,,,,,
1926-10-15,-0.0182,0.0012,-0.0028000000000000004,0.0001,,,,,,
1926-10-16,-0.0074,-0.0031,0.0042,0.0001,,,,,,
1926-10-18,0.0070999999999999995,-0.002,0.0042,0.0001,,,,,,
1926-10-19,-0.0105,0.0039000000000000003,-0.005,0.0001,,,,,,
1926-10-20,-0.0024,-0.0066,-0.011699999999999999,0.0001,,,,,,
1926-10-21,0.0152,-0.0011,0.0054,0.0001,,,,,,
1926-10-22,-0.004,0.0040999999999999995,0.0024,0.0001,,,,,,
1926-10-23,0.0054,0.0053,0.0017000000000000001,0.0001,,,,,,
1926-10-25,-0.001,0.0034999999999999996,-0.0002,0.0001,,,,,,
1926-10-26,0.0032,0.0004,0.0025,0.0001,,,,,,
1926-10-27,0.0101,-0.0046,0.0019,0.0001,,,,,,
1926-10-28,-0.0009,0.0068000000000000005,0.0022,0.0001,,,,,,
1926-10-29,-0.0006,0.0,-0.0033,0.0001,,,,,,
1926-10-30,-0.0025,0.0019,0.0025,0.0001,,,,,,
1926-11-01,0.0046,-0.0012,-0.0043,0.0001,,,,,,
1926-11-03,0.002,-0.0022,-0.0029,0.0001,,,0.0055000000000000005,,,
1926-11-04,0.0059,-0.0014000000000000002,0.006999999999999999,0.0001,,,-0.0051,,,
1926-11-05,0.0007000000000000001,-0.0008,0.0025,0.0001,,,0.011699999999999999,,,
1926-11-06,0.0015,-0.0029,0.0005,0.0001,,,-0.0003,,,
1926-11-08,0.0052,-0.0007000000000000001,0.0008,0.0001,,,-0.0001,,,
1926-11-09,0.0013,0.0029,-0.0054,0.0001,,,0.0012,,,
1926-11-10,-0.0059,0.0014000000000000002,0.0009,0.0001,,,0.0028000000000000004,,,
1926-11-11,0.0066,0.0001,0.0008,0.0001,,,-0.009399999999999999,,,
1926-11-12,0.0024,0.0005,-0.0040999999999999995,0.0001,,,-0.0034000000000000002,,,
1926-11-13,-0.0025,0.001,-0.0016,0.0001,,,0.004,,,
1926-11-15,0.0036,0.0026,-0.0022,0.0001,,,0.0,,,
1926-11-16,0.0016,-0.0029,-0.0007000000000000001,0.0001,,,-0.0007000000000000001,,,
1926-11-17,-0.0036,-0.0034000000000000002,0.0045000000000000005,0.0001,,,0.0012,,,
1926-11-18,-0.004699999999999999,0.0013,0.0026,0.0001,,,0.005699999999999999,,,
1926-11-19,-0.0063,0.006,0.0002,0.0001,,,0.0019,,,
1926-11-20,0.004,-0.0001,0.0015,0.0001,,,-0.0034999999999999996,,,
1926-11-22,0.005699999999999999,0.0016,-0.0022,0.0001,,,-0.0009,,,
1926-11-23,0.0033,0.0003,0.0019,0.0001,,,0.0054,,,
1926-11-24,0.0008,-0.0022,0.0023,0.0001,,,-0.0042,,,
1926-11-26,0.002,0.0001,0.0001,0.0001,,,-0.0025,,,
1926-11-27,-0.0015,-0.0006,-0.0026,0.0001,,,0.0046,,,
1926-11-29,-0.0037,-0.0013,0.0007000000000000001,0.0001,,,-0.0007000000000000001,,,
1926-11-30,0.0025,0.0002,-0.0048,0.0001,,,0.0016,,,
1926-12-01,0.0036,0.0005,-0.0034000000000000002,0.0001,,,0.0,,,
1926-12-02,0.0051,-0.0002,0.0009,0.0001,,,-0.0006,,,
1926-12-03,0.0032,0.0005,-0.0004,0.0001,,,-0.0059,,,
1926-12-04,-0.0017000000000000001,0.0019,0.0011,0.0001,,,0.0005,,,
1926-12-06,0.0004,0.003,-0.0034000000000000002,0.0001,,,0.002,,,
1926-12-07,-0.0004,0.0034000000000000002,-0.005,0.0001,,,0.0028000000000000004,,,
1926-12-08,-0.0008,0.0021,0.0025,0.0001,,,0.0019,,,
1926-12-09,0.0043,-0.0013,0.0044,0.0001,,,-0.0051,,,
1926-12-10,0.0034999999999999996,-0.0016,0.0049,0.0001,,,-0.0001,,,
1926-12-11,0.0009,-0.001,-0.005,0.0001,,,-0.0048,,,
1926-12-13,0.0042,0.0062,0.0003,0.0001,,,-0.0073,,,
1926-12-14,0.0011,-0.0008,0.0015,0.0001,,,0.006,,,
1926-12-15,0.0015,-0.002,0.0018,0.0001,,,-0.0031,,,
1926-12-16,-0.0060999999999999995,-0.0021,0.0007000000000000001,0.0001,,,-0.0001,,,
1926-12-17,0.0091,-0.0075,0.0070999999999999995,0.0001,,,0.0013,,,
1926-12-18,0.0042,-0.0021,0.002,0.0001,,,-0.0027,,,
1926-12-20,-0.0031,0.0008,-0.0013,0.0001,,,0.0069,,,
1926-12-21,-0.0003,-0.0039000000000000003,-0.0019,0.0001,,,0.0051,,,
1926-12-22,0.0001,-0.0019,-0.0053,0.0001,,,0.0004,,,
1926-12-23,0.0029,0.0,-0.0046,0.0001,,,0.0042,,,
1926-12-24,0.0031,0.0021,0.0026,0.0001,,,0.0028000000000000004,,,
1926-12-27,-0.0022,-0.0018,-0.0037,0.0001,,,0.0025,,,
1926-12-28,-0.011000000000000001,-0.0006,-0.0017000000000000001,0.0001,,,0.0036,,,
1926-12-29,0.0044,-0.0018,-0.0003,0.0001,,,-0.0012,,,
1926-12-30,-0.0034999999999999996,0.0045000000000000005,0.0011,0.0001,,,0.0002,,,
1926-12-31,0.0034000000000000002,0.0031,0.0066,0.0001,,,-0.0069,,,
1927-01-03,-0.0079,0.0018,0.0008,0.0001,,,0.0001,,,
1927-01-04,0.003,0.0016,-0.0067,0.0001,,,-0.0029,,,
1927-01-05,0.0014000000000000002,0.0043,-0.0031,0.0001,,,-0.0049,,,
1927-01-06,-0.0018,-0.0002,0.0012,0.0001,,,-0.0006,,,
1927-01-07,0.003,-0.0024,0.0042,0.0001,,,0.0066,,,
1927-01-08,0.0039000000000000003,-0.0016,0.0025,0.0001,,,-0.005600000000000001,,,
1927-01-10,0.0014000000000000002,0.0007000000000000001,0.001,0.0001,,,0.0014000000000000002,,,
1927-01-11,-0.0029,-0.0036,0.0084,0.0001,,,0.0021,,,
1927-01-12,0.0008,-0.0002,-0.0003,0.0001,,,0.003,,,
1927-01-13,-0.0004,0.0016,-0.0024,0.0001,,,0.0029,,,
1927-01-14,0.0005,-0.0083,0.0089,0.0001,,,0.005,,,
